Country,Continent,Region
Romania,Europe,Southeast Europe
Rwanda,Africa,East Africa
Saint Kitts and Nevis,North America,Caribbean
Saint Lucia,North America,Caribbean
Samoa,Oceania,Polynesia
San Marino,Europe,Southern Europe
Sao Tome and Principe,Africa,Central Africa
Saudi Arabia,Asia,West Asia
Senegal,Africa,West Africa
Seychelles,Africa,East Africa
Sierra Leone,Africa,West Africa
Singapore,Asia,Southeast Asia
Solomon Islands,Oceania,Melanesia
Somalia,Africa,East Africa
South Africa,Africa,Southern Africa
Spain,Europe,Southwest Europe
Sri Lanka,Asia,South Asia
St. Vincent and the Grenadines,North America,Caribbean
State of Palestine,Asia,West Asia
Sudan (Former),Africa,North Africa
Suriname,South America,Guianas
Sweden,Europe,Northern Europe
Switzerland,Europe,Central Europe
Syrian Arab Republic,Asia,West Asia
Thailand,Asia,Southeast Asia
Togo,Africa,West Africa
Tonga,Oceania,Polynesia
Trinidad and Tobago,North America,Caribbean
Tunisia,Africa,North Africa
Türkiye,Asia,West Asia
Turks and Caicos Islands,North America,Caribbean
Tuvalu,Oceania,Polynesia
U.R. of Tanzania: Mainland,Africa,East Africa
Uganda,Africa,East Africa
United Arab Emirates,Asia,West Asia
United Kingdom,Europe,Western Europe
United States,North America,Northern America
Uruguay,South America,Southern Cone
USSR (Former),Europe,Eastern Europe
Vanuatu,Oceania,Melanesia
Venezuela (Bolivarian Republic of),South America,Guianas
Viet Nam,Asia,Southeast Asia
Yemen Arab Republic (Former),Asia,West Asia
Yemen Democratic (Former),Asia,West Asia
Yugoslavia (Former),Europe,Southeast Europe
Zambia,Africa,East Africa
Zimbabwe,Africa,East Africa
